"","X","id","age","edu_lvl","gender","student_state","uni_state","university","household_size","bottles_bought","bottles_recycled","bottles_bought_pp","bottles_recycled_pp","recycling_percentage","transport_method","travel_distance","deposit_opinion","distance_opinion","comments","before","distance_group"
"1",1,9,25,"Bachelor","Male","Yes","Master student","ETH Zürich",3,8,6,2.66666666666667,2,75,"foot",300,5,2,"First real entry","2025-05-16 20:50:21.499","0 - 500m"
"2",2,10,28,"Higher technical school","Male","Yes","Master student","Bbw",3,5,1.5,1.66666666666667,0.5,30,"car",1500,5,5,NA,"2025-05-16 21:02:21.157","1001 - 2000m"
"3",3,11,19,"Apprenticeship","Female","No",NA,NA,4,10,10,2.5,2.5,100,"car",2000,5,5,NA,"2025-05-16 21:02:21.279","1001 - 2000m"
"4",4,12,24,"Bachelor","Male","Yes","Master student","UZH",3,3,3,1,1,100,"foot",500,4,1,NA,"2025-05-16 21:04:10.317","0 - 500m"
"5",5,13,33,"Bachelor","Female","No",NA,NA,4,2,2,0.5,0.5,100,"foot",400,3,3,NA,"2025-05-16 21:09:36.223","0 - 500m"
"6",6,14,26,"Higher technical school","Female","No",NA,NA,3,3,3,1,1,100,"car",1500,5,1,"Bitte gerngsche","2025-05-16 21:11:07.379","1001 - 2000m"
"7",7,15,25,"Bachelor","Male","Yes","Master student","ETH Zürich",3,2,2,0.666666666666667,0.666666666666667,100,"public transport",3000,4,5,NA,"2025-05-16 21:12:42.982","2000m +"
"8",8,16,27,"Higher technical school","Female","Yes","Phd student",NA,2,3,3,1.5,1.5,100,"car",NA,5,3,NA,"2025-05-16 21:19:14.895",NA
"9",9,17,26,"Matura","Male","Yes","Bachelor student","ZHaW",1,2,2,2,2,100,"foot",100,4,2,NA,"2025-05-16 21:20:37.385","0 - 500m"
"10",10,18,20,"Matura","Male","No",NA,NA,4,6,6,1.5,1.5,100,"foot",100,2,5,NA,"2025-05-16 21:23:06.949","0 - 500m"
"11",11,19,24,"Bachelor","Female","Yes","Master student","Uni Basel",2,4,4,2,2,100,"bicycle",200,4,2,NA,"2025-05-16 21:25:20.655","0 - 500m"
"12",12,20,24,"Bachelor","Female","Yes","Master student","Uni Basel",2,4,4,2,2,100,"bicycle",200,4,2,NA,"2025-05-16 21:25:26.521","0 - 500m"
"13",13,21,22,"Matura","Female","Yes","Phd student","ZHaW",4,20,5,5,1.25,25,"foot",1000,4,4,"4er wg mit regelmässigem club-mate konsum","2025-05-16 21:27:03.954","501 - 1000m"
"14",14,22,19,"Apprenticeship","Male","No",NA,NA,3,4,4,1.33333333333333,1.33333333333333,100,"car",3,4,4,"Ade Merci","2025-05-16 21:29:07.354001","0 - 500m"
"15",15,23,24,"Apprenticeship","Female","No",NA,NA,2,3,2,1.5,1,66.6666666666667,"car",1400,4,3,"I recycle everything in the household, no matter how far the nearest recycling station is.","2025-05-16 21:30:40.632","1001 - 2000m"
