"","Timestamp","How old are you (in years)?","What is your highest level of education?","What is your gender?","Are you currently studying or working at an university?","What is your current occupation at the university? (select most appropriate)","Which University are you affiliated with?","How many people live in your household?","During an average week, how many glass bottles/jars etc. does your household buy? Try to estimate a number.","How many of your households glass bottles/jars etc. are separated and returned to a collection point to be recycled? Try to estimate the amount of bottles.","When you return your used glass bottles, how do you transport them? Select the method you use the most.","How far is the distance from your home to the closest collection point for glass recycling? Please give an estimate in meters.","Do you think a deposit (""Pfand"") on glass bottles would increase the percentage of bottles being returned correctly for recycling?","Would you recycle more if your way to the next recycling station was shorter?","If you have any comments, you can add them here. Thank you for participating!"
"1",2025-05-15 12:50:53.494,114.9,NA,"Male","Yes","Master student","ETH Zurich",1e+05,0,0.1,"I don't return my used bottles.",1000,4,4,NA
"2",2025-05-15 13:00:42.195,NA,NA,"Male","Yes","Master student","ETH Zürich",3,4,5,"By foot",400,5,1,NA
"3",2025-05-15 13:04:00.095,NA,NA,"Male","Yes","Bachelor student","ETH Zürich",2,6,6,"By foot",600,2,5,NA
"4",2025-05-15 13:31:08.614,NA,NA,NA,"Yes","Master student","9865£!éä",2e+11,6e+17,9e+23,"By car",6.964389754678,5,NA,"456f7vobpuoääüpoo$$¨àé-l"
"5",2025-05-15 13:34:05.135,70.5,NA,"Female","No",NA,NA,1202348,20.3,34567890,"I don't return my used bottles.",345,5,2,NA
"6",2025-05-15 13:35:08.119,23.5,NA,"Female","Yes","Master student","I take most classes at ETH and one class at UZH",3,5,5,"By foot",250,5,3,"Thanks!!"
"7",2025-05-15 13:52:46.291,20,NA,"Male","Yes","Bachelor student","ETH Zürich",6,4,1,"By foot",500,3,1,NA
"8",2025-05-15 13:54:01.439,65,NA,"Prefer not to say","Yes","Master student","university of linus folini",3,10,9,"By foot",1,2,1,NA
"9",2025-05-16 20:50:21.499,25,"Bachelor degree","Male","Yes","Master student","ETH Zürich",3,8,6,"By foot",300,5,2,"First real entry"
"10",2025-05-16 21:02:21.157,28,"Bald Meister","Male","Yes","Master student","Bbw",3,5,30,"By car",1500,5,5,NA
"11",2025-05-16 21:02:21.279,19,"Completed Apprenticeship (Abgeschlossene Lehre)","Female","No",NA,NA,4,10,10,"By car",2000,5,5,NA
